#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1661309984292819605,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984302661026,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984312680942,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984322335726,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984332651494,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984342720773,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984353418747,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984362703803,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984372586331,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984414581136,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984414617742,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984414632591,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984414675053,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984458610487,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984458663168,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984458678160,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984458692273,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984502604656,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984502631945,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984502674275,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984502705630,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984546528685,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984546551528,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984546596784,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984546628730,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984546652001,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984590584304,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984590621135,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984590636446,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984590652100,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984592994302,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984602788395,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984646604039,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984646628172,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984646653128,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984646664736,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984690629280,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984690652379,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984690689742,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984690710315,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984734605021,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984734630941,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984734653898,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984734676709,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984734689695,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984778574200,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984778602323,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984778615223,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984778632233,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984782887901,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984792838119,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984834580741,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984834610300,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984834630743,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984834645021,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984878575605,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984878642082,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984878765373,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984878789718,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984922572837,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984922601180,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984922619302,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984922646972,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984966539933,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984966595000,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984966623599,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984966642865,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309984966656918,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985010574924,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985010600231,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985010628063,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985010651642,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985012695556,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985023355705,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985066646490,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985066683646,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985066703118,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985066719973,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985110619418,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985110645731,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985110657713,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985110671867,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985154627960,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985154656653,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985154666991,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985154689367,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985154709684,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985198605187,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985198627104,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985198658394,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985198689097,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985204484565,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985212793134,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985254580309,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
1661309985254608753,0.0,0.0,0.029906120151281357,1.0,0.0,0.0,0.0
